enormously,tremendously,decidedly,wrong
provisions,stipulations,interpretations,wrong
haphazardly,randomly,linearly,wrong
prominent,conspicuous,conspicuous,correct
zenith,pinnacle,decline,wrong
flawed,imperfect,crude,wrong
urgently,desperately,desperately,correct
consumed,eaten,supplied,wrong
advent,coming,stability,wrong
concisely,succinctly,succinctly,correct
salutes,greetings,privileges,wrong
solitary,alone,fearless,wrong
hasten,accelerate,accompany,wrong
perseverance,endurance,disturbance,wrong
fanciful,imaginative,logical,wrong
showed,demonstrated,postponed,wrong
constantly,continually,accidentally,wrong
issues,subjects,benefits,wrong
furnish,supply,advise,wrong
costly,expensive,complicated,wrong
recognized,acknowledged,welcomed,wrong
spot,location,location,correct
make,earn,borrow,wrong
often,frequently,hardly,wrong
easygoing,relaxed,relaxed,correct
debate,argument,competition,wrong
narrow,thin,poisonous,wrong
arranged,planned,discarded,wrong
infinite,limitless,structural,wrong
showy,striking,incidental,wrong
levied,imposed,correlated,wrong
deftly,skillfully,humorously,wrong
distribute,circulate,acknowledge,wrong
discrepancies,differences,differences,correct
prolific,productive,promising,wrong
unmatched,unequaled,emulated,wrong
peculiarly,uniquely,suspiciously,wrong
hue,color,scent,wrong
hind,rear,rear,correct
highlight,accentuate,restore,wrong
hastily,hurriedly,chronologically,wrong
temperate,mild,windy,wrong
grin,smile,smile,correct
verbally,orally,verbosely,wrong
physician,doctor,doctor,correct
essentially,basically,ordinarily,wrong
keen,sharp,sharp,correct
situated,positioned,positioned,correct
principal,major,exceptional,wrong
slowly,gradually,continuously,wrong
built,constructed,organized,wrong
tasks,jobs,jobs,correct
unlikely,improbable,unpopular,wrong
halfheartedly,apathetically,unconventionally,wrong
annals,chronicles,songs,wrong
wildly,furiously,furiously,correct
hailed,acclaimed,addressed,wrong
command,mastery,mastery,correct
concocted,devised,supervised,wrong
prospective,potential,prominent,wrong
generally,broadly,accurately,wrong
sustained,prolonged,analyzed,wrong
perilous,dangerous,dangerous,correct
tranquillity,peacefulness,dangerous,guess
dissipate,disperse,photograph,wrong
primarily,chiefly,chiefly,correct
colloquial,conversational,conversational,correct
resolved,settled,examined,wrong
feasible,possible,evident,wrong
expeditiously,rapidly,repeatedly,wrong
percentage,proportion,profit,wrong
terminated,ended,evaluated,wrong
uniform,alike,sharp,wrong
figure,solve,express,wrong
sufficient,enough,valuable,wrong
fashion,manner,manner,correct
marketed,sold,diluted,wrong
bigger,larger,better,wrong
roots,origins,function,wrong
normally,ordinarily,periodically,wrong
